keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,primary_conversions,primary_cpa,effective_conversions,effective_cpa,effective_roas,break_even_cpa,break_even_roas,primary_kpi,is_core_term,quality_score,campaign_bidding_strategy_type,campaign_target_cpa,campaign_target_roas,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
bauwerksabdichter jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Abdichter,AG | RSA | Abdichter,23473547006,191108771999,323577835401,TIER_DEGRADED,Medium,bauwerksabdichter jobs shifted from HERO to UNPROFITABLE,1044,124,146.18,1.00,146.18,1.00,146.18,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,147.81,0.00,2,material,1.95,71.18,71.18,
temporär Strassenbauer,BROAD,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,AG | RSA | Strassenbauer,23478262294,193437338762,2464253372875,TIER_DEGRADED,Medium,temporär Strassenbauer shifted from HERO to UNPROFITABLE,642,68,123.98,1.00,123.98,1.00,123.98,0.00,75.00,,cpa,false,,MAXIMIZE_CONVERSIONS,115.57,0.00,2,material,1.65,48.98,48.98,
heizungsmonteur stellenangebote,BROAD,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,AG | RSA | Heizungsinstallateur KW Testing,23473611323,194378322893,303135343649,TIER_DEGRADED,Medium,heizungsmonteur stellenangebote shifted from INSUFFICIENT_DATA to UNPROFITABLE,541,71,114.33,1.00,114.33,1.00,114.33,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,106.35,0.00,2,material,1.52,39.33,39.33,
Jop.ch,BROAD,EX | 26 | CH | SEARCH | LEAD | Compeditor,AG | RSA | Compeditor,23619183073,193899557756,801030903974,OVER_TARGET,Medium,"Primary CPA $53.52 > tCPA $34.16, but under break-even $75.00. Tier 2 material target overage, excess spend $38.36. Review bids / target CPA segmentation — do not pause.",1130,83,106.03,1.98,53.52,1.98,53.52,0.00,75.00,,cpa,false,3,MAXIMIZE_CONVERSIONS,34.16,0.00,2,material,1.57,38.36,38.36,
schreiner offene stellen,PHRASE,EX | 26 | CH | SEARCH | LEAD | Montage-Schreiner,AG | RSA | Montage-Schreiner,23468574954,192099072219,297476803831,TIER_DEGRADED,Medium,schreiner offene stellen shifted from INSUFFICIENT_DATA to UNPROFITABLE,173,22,40.79,0.25,163.16,0.25,163.16,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,94.98,0.00,2,material,2.18,22.04,22.04,
maler schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,302654071829,OVER_TARGET,Medium,"Primary CPA $24.39 > tCPA $11.00, but under break-even $75.00. Tier 2 material target overage, excess spend $13.39. Review bids / target CPA segmentation — do not pause.",203,31,24.39,1.00,24.39,1.00,24.39,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,2,material,2.22,13.39,13.39,
maler schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,302654071829,TIER_DEGRADED,Medium,maler schweiz shifted from ACTIVE to OVER_TARGET,203,31,24.39,1.00,24.39,1.00,24.39,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,11.00,0.00,2,material,2.22,13.39,13.39,
kollabo ch,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399744,OVER_TARGET,Medium,"Primary CPA $29.32 > tCPA $15.59, but under break-even $75.00. Tier 2 material target overage, excess spend $3.43. Review bids / target CPA segmentation — do not pause.",40,15,7.33,0.25,29.32,0.25,29.32,0.00,75.00,,cpa,true,9,MAXIMIZE_CONVERSIONS,15.59,0.00,2,material,1.88,3.43,3.43,
kollabo ch,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399744,TIER_DEGRADED,Medium,kollabo ch shifted from ACTIVE to OVER_TARGET,40,15,7.33,0.25,29.32,0.25,29.32,0.00,75.00,,cpa,true,9,MAXIMIZE_CONVERSIONS,15.59,0.00,2,material,1.88,3.43,3.43,
sanitär jobangebote,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,350967993775,TIER_DEGRADED,Medium,sanitär jobangebote shifted from INSUFFICIENT_DATA to UNPROFITABLE,1221,136,204.58,1.95,105.02,1.95,105.02,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,102.77,0.00,1,watch,1.40,58.48,58.48,
